symbol,sector,industry,price,avg_volume,avg_spread,market_cap,avg_spread
AIRT,Industrials,Integrated Freight & Logistics,24.10000038,24381,0.613414365,69452658.4,0.613414365
EURN,Energy,Oil & Gas Midstream,8.93999958,1242351,0.010077555,1967020842,0.010077555
HRC,Healthcare,Medical Instruments & Supplies,104.1800003,335439,0.18386563,6913597973,0.18386563
PPSI,Industrials,Electrical Equipment & Parts,4.849999905,311609,0.076793828,42321317.42,0.076793828
CMLFU,Financial Services,Shell Companies,18.36000061,106873,0.537890596,908190929.1,0.537890596
MMSI,Healthcare,Medical Instruments & Supplies,55.04000092,241128,0.189122787,3065214473,0.189122787
DMYI,Financial Services,Shell Companies,12.69999981,959733,0.071920668,481409367.8,0.071920668
BEAT,Healthcare,Diagnostics & Research,71.96,1494858,0.014978136,2469012940,0.014978136
LIVX,Communication Services,Entertainment,3.799999952,980786,0.015822101,286818589,0.015822101
SPFI,Financial Services,Banks—Regional,22.95000076,38649,0.574984399,414852567.6,0.574984399
AYTU,Healthcare,Biotechnology,7.460000038,523772,0.034726016,133406382.5,0.034726016
CSIQ,Technology,Solar,40.58000183,3692734,0.09634939,2395911767,0.09634939
PZZA,Consumer Cyclical,Restaurants,82.66999817,616561,0.281762222,2722167041,0.281762222
HA,Industrials,Airlines,26.61000061,992002,0.077612099,1289283508,0.077612099
SCVX,Financial Services,Shell Companies,10.25,774240,0.042461735,294687500,0.042461735
RBC,Industrials,Specialty Industrial Machinery,138.6999969,445892,0.384969803,5633845606,0.384969803
NRT,Energy,Oil & Gas Equipment & Services,3.829999924,17711,0.045786164,35199959,0.045786164
TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",12.82999992,801960,0.03594667,752375829.1,0.03594667
QLGN,Healthcare,Biotechnology,2.880000114,1621053,0.020252694,70088440.23,0.020252694
NICE,Technology,Software—Application,221.3999939,499870,0.64192139,13888930394,0.64192139
CAI,Industrials,Rental & Leasing Services,42.70999908,215098,0.396691919,738227641.9,0.396691919
KTRA,Healthcare,Biotechnology,1.850000024,614401,0.016458525,56658134.03,0.016458525
USAT,Technology,Software—Infrastructure,9.449999809,265899,0.057198284,671098105.8,0.057198284
PAND,Healthcare,Biotechnology,59.88999939,346937,0.189868573,1767688248,0.189868573
PSMT,Consumer Defensive,Discount Stores,94.81999969,159249,0.581125808,2914608820,0.581125808
REFR,Technology,Electronic Components,3.640000105,191038,0.04478821,114935864.4,0.04478821
HEXO,Healthcare,Drug Manufacturers—Specialty & Generic,6.420000076,4678064,0.010582108,784284459.9,0.010582108
UMH,Real Estate,REIT—Residential,18.17000008,252317,0.076029301,757861963.4,0.076029301
JOF,Financial Services,Asset Management,9.010000229,44293,0.026161727,255288380.8,0.026161727
NMRD,Healthcare,Medical Devices,7.070000172,108477,0.132143532,162117981.4,0.132143532
IIM,Financial Services,Asset Management,15.55000019,62796,0.033288987,731356470.7,0.033288987
CETX,Technology,Software—Infrastructure,1.470000029,1127582,0.014871483,26413220.7,0.014871483
KTF,Financial Services,Asset Management,11.5,52473,0.055124688,454260791.8,0.055124688
FRTA,Industrials,Building Products & Equipment,23.45000076,1214026,0.018000332,1553885269,0.018000332
GGAL,Financial Services,Banks—Regional,7.119999886,985890,0.018271694,1015856379,0.018271694
IFS,Financial Services,Banks—Regional,31.81999969,49092,0.57267834,3673545938,0.57267834
NCNA,Healthcare,Biotechnology,4.380000114,781322,0.050749287,224144513,0.050749287
IMTE,Technology,Electronic Components,3.859999895,65460,0.117579156,23955078.29,0.117579156
VBTX,Financial Services,Banks—Regional,30.73999977,247179,0.127786297,1519289845,0.127786297
SBFG,Financial Services,Banks—Regional,19.44000053,36461,0.226134328,146709873.8,0.226134328
ESTA,Healthcare,Medical Devices,61.65000153,161900,0.77664216,1444962600,0.77664216
LSF,Consumer Defensive,Packaged Foods,35.75,99415,0.65105613,317277317.5,0.65105613
HBIO,Healthcare,Medical Instruments & Supplies,4.239999771,185938,0.082738337,165256153.5,0.082738337
LAC,Basic Materials,Other Industrial Metals & Mining,14.90999985,6719695,0.019648828,1780074450,0.019648828
EOSE,Industrials,Electrical Equipment & Parts,17.62000084,1409018,0.068254624,912738227.1,0.068254624
ARGX,Healthcare,Biotechnology,289.75,382024,1.325264863,14860623245,
ADUS,Healthcare,Medical Care Facilities,93.83000183,117852,0.620660457,1484980257,0.620660457
RMT,Financial Services,Asset Management,11.47000027,204235,0.046816202,455488401.6,0.046816202
VG,Communication Services,Telecom Services,12.47999954,4201110,0.01099236,3109168120,0.01099236
HE,Utilities,Utilities—Regulated Electric,37.24000168,567132,0.053228819,4065905241,0.053228819
FFG,Financial Services,Insurance—Life,56.75999832,68866,0.294018927,1384746548,0.294018927
NURO,Healthcare,Medical Instruments & Supplies,3.00999999,201573,0.076270691,11426402.43,0.076270691
UTHR,Healthcare,Biotechnology,164.3399963,502195,0.611590113,7320415851,0.611590113
IMAC,Healthcare,Medical Care Facilities,1.940000057,119988,0.030606061,25719436.3,0.030606061
SLG,Real Estate,REIT—Office,72.54000092,1093325,0.128472425,5105089250,0.128472425
MAYS,Real Estate,Real Estate Services,28.35000038,1235,2.726197183,57147363.77,
OTRA,Financial Services,Shell Companies,10.10000038,15487,0.087017544,133744376.8,0.087017544
BCX,Financial Services,Asset Management,9.300000191,1133569,0.0126645,821338763.5,0.0126645
PSF,Financial Services,Asset Management,26.94000053,15291,0.355248619,322993386.6,0.355248619
ITI,Technology,Communication Equipment,5.800000191,562601,0.031385671,241515441.5,0.031385671
INSI,Financial Services,Asset Management,20.77000046,13701,0.056078431,222417568.4,0.056078431
VRTX,Healthcare,Biotechnology,211.9799957,1704827,0.259628445,55106332832,0.259628445
SPG,Real Estate,REIT—Retail,111.1699982,4575100,0.089717913,36519501815,0.089717913
BRP,Financial Services,Insurance Brokers,26.45000076,359333,0.183189804,2360479508,0.183189804
SCD,Financial Services,Asset Management,12.31000042,26066,0.081791182,221106098.1,0.081791182
CG,Financial Services,Asset Management,34.54999924,1380228,0.038345591,12237388402,0.038345591
LOV,Communication Services,Internet Content & Information,5.050000191,65729,0.067383089,131352373.5,0.067383089
DCRBU,Financial Services,Shell Companies,12.26000023,18645,0.922505423,276738879.7,0.922505423
FRPT,Consumer Defensive,Packaged Foods,139.3600006,534759,0.574796879,6011876848,0.574796879
ERYP,Healthcare,Biotechnology,7.947899818,13884,0.72184466,159415493.4,0.72184466
TER,Technology,Semiconductor Equipment & Materials,113.9000015,3451640,0.162954746,18986534785,0.162954746
FE,Utilities,Utilities—Diversified,33.20999908,5516490,0.0115161,18040172642,0.0115161
USWS,Energy,Oil & Gas Midstream,1.440000057,3676235,0.011655743,106659787.6,0.011655743
VRSK,Industrials,Consulting Services,168.1199951,1922759,0.147463882,27368520139,0.147463882
APLS,Healthcare,Biotechnology,48.81000137,737613,0.234900579,3923121676,0.234900579
VCVC,Financial Services,Shell Companies,10.60000038,739586,0.045865365,266656259.6,0.045865365
